Epoch,train_acc,val_acc
1,0.3425873,0.38786754
2,0.36925396,0.36635792
3,0.38463703,0.3795786
4,0.39421755,0.36156517
5,0.40661645,0.35376245
6,0.41181108,0.38733506
7,0.42024618,0.37939337
8,0.4241899,0.3793471
9,0.43089676,0.3926835
10,0.43915102,0.38448718
11,0.44260237,0.38499653
12,0.45121327,0.40706185
13,0.45889473,0.40175968
14,0.47044963,0.40266266
15,0.48600858,0.38020375
16,0.49826676,0.40949297
17,0.5058528,0.38596898
18,0.5230394,0.39358652
19,0.534946,0.40164393
20,0.54378796,0.39282244
21,0.55167544,0.39205837
22,0.56101483,0.384464
23,0.5746748,0.4057652
24,0.58033156,0.37957862
25,0.586089,0.39120165
26,0.59666413,0.4035888
27,0.60002005,0.39059967
28,0.61041445,0.3867562
29,0.6140015,0.39360964
30,0.62345636,0.39184994
31,0.6265511,0.3922899
32,0.6354684,0.3923362
33,0.64076865,0.3909933
34,0.6443909,0.38689512
35,0.6505602,0.39868027
36,0.65682495,0.38453344
37,0.6617082,0.38613102
38,0.6647526,0.39858764
39,0.66934437,0.39152583
40,0.66882193,0.38738137
41,0.67605627,0.4029868
42,0.6805526,0.39004397
43,0.6836172,0.40296364
44,0.68813866,0.38921046
45,0.68858576,0.394119
46,0.6948004,0.40514013
47,0.6960412,0.3921741
48,0.70117056,0.39404956
49,0.70086914,0.40203747
50,0.70658636,0.3992128
