Epoch,train_acc,val_acc
1,0.32289377,0.33128038
2,0.34224564,0.36733043
3,0.35248932,0.32542253
4,0.3645466,0.35003474
5,0.37422758,0.33352628
6,0.37987942,0.34577453
7,0.38414973,0.32526046
8,0.39006782,0.33845797
9,0.3930771,0.32519102
10,0.39533785,0.31164625
11,0.39857826,0.32827044
12,0.40161264,0.30967814
13,0.40352675,0.3298217
14,0.40663657,0.3062283
15,0.41053006,0.32752955
16,0.41478023,0.329104
17,0.41950265,0.326997
18,0.42398894,0.31136838
19,0.4277066,0.31678632
20,0.43116808,0.30016208
21,0.43480536,0.309956
22,0.4363376,0.3273906
23,0.4418387,0.31859228
24,0.44555643,0.31912482
25,0.44724944,0.3141931
26,0.4548556,0.31396157
27,0.45603117,0.31173885
28,0.45969355,0.31750405
29,0.45953283,0.3127113
30,0.46517456,0.30514008
31,0.46913338,0.31030333
32,0.4669078,0.30988654
33,0.46740013,0.31426257
34,0.47543335,0.31400785
35,0.47448882,0.30803427
36,0.47472,0.32468164
37,0.47703087,0.3131049
38,0.47877917,0.30219957
39,0.481477,0.3086594
40,0.48472744,0.29821718
41,0.48485306,0.3028942
42,0.4832052,0.31243345
43,0.48865613,0.30067146
44,0.49150473,0.30629775
45,0.49111786,0.30727023
46,0.49052498,0.30951607
47,0.49253955,0.30984026
48,0.49277064,0.31796712
49,0.49895003,0.31620744
50,0.49908563,0.3043992
